Strategy,Base,-20%,+20%,Δ-20%,Δ+20%
Original,412.05000007696526,305.06712686884157,519.3865712078878,-106.98287320812369,107.3365711309225
Delta Hedge,661.8848709237639,509.2791701555401,814.8880066935478,-152.60570076822376,153.00313576978397
Delta-Gamma Hedge,32.096328348164946,-5.502472142825297,69.9823105722412,-37.59880049099024,37.88598222407626
Vega Hedge,22.667106379291397,-13.209805704152984,58.82954947900021,-35.87691208344438,36.16244309970881
