,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Operating Cash Flow,91328000000.0,71113000000.0,50475000000.0,57683000000.0,
Investing Cash Flow,-47150000000.0,-24495000000.0,-28970000000.0,-7570000000.0,
Financing Cash Flow,-40781000000.0,-19500000000.0,-22136000000.0,-50728000000.0,
Capital Expenditure,-37256000000.0,-27045000000.0,-31186000000.0,-18690000000.0,
Free Cash Flow,54072000000.0,44068000000.0,19289000000.0,38993000000.0,
End Cash Position,45438000000.0,42827000000.0,15596000000.0,16865000000.0,
Changes In Cash,3397000000.0,27118000000.0,-631000000.0,-615000000.0,
