,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Operating Cash Flow,64089000000.0,28090000000.0,5641000000.0,9108000000.0,
Investing Cash Flow,-20421000000.0,-10566000000.0,7375000000.0,-9830000000.0,
Financing Cash Flow,-42359000000.0,-13633000000.0,-11617000000.0,1865000000.0,
Capital Expenditure,-3236000000.0,-1069000000.0,-1833000000.0,-976000000.0,
Free Cash Flow,60853000000.0,27021000000.0,3808000000.0,8132000000.0,
End Cash Position,8589000000.0,7280000000.0,3389000000.0,1990000000.0,
Changes In Cash,1309000000.0,3891000000.0,1399000000.0,1143000000.0,
