Strategy,Base,-10%,+10%,Δ-10%,Δ+10%
Original,-1859.221791676047,-3934.332629146584,-4251.280427755816,-2075.1108374705373,-2392.0586360797693
Delta Hedge,-1702.6490994306178,-3777.670049502211,-3625.0731688143596,-2075.0209500715932,-1922.4240693837419
Delta-Gamma Hedge,-813.1768107533214,-2887.687120372129,-67.65842548286764,-2074.5103096188077,745.5183852704538
Vega Hedge,-787.4860578972427,-2861.981618616239,35.09088345109285,-2074.495560718996,822.5769413483356
