Strategy,Base,-1%,+1%,Δ-1%,Δ+1%
Original,424.77139548086325,425.3478768758828,421.84050815883734,0.5764813950195276,-2.93088732202591
Delta Hedge,665.3036486906944,665.8732860861737,662.4097301298495,0.5696373954792762,-2.893918560844895
Delta-Gamma Hedge,-1754.3319849910063,-1753.693500341391,-1757.5977910251233,0.6384846496152932,-3.2658060341170767
Vega Hedge,161.6710219177138,162.2549894557004,158.6996972125632,0.5839675379866094,-2.9713247051506073
