Strategy,Base,-20%,+20%,Δ-20%,Δ+20%
Original,412.05000007696526,305.06712686884157,519.3865712078878,-106.98287320812369,107.3365711309225
Delta Hedge,661.8848709237639,509.2791701555401,814.8880066935478,-152.60570076822376,153.00313576978397
Delta-Gamma Hedge,485.96466652368713,365.48409353477916,606.8118772286944,-120.48057298890797,120.84721070500723
Vega Hedge,22.667106379291397,-13.209805704152984,58.82954947900021,-35.87691208344438,36.16244309970881
