Strategy,Base,-20%,+20%,Δ-20%,Δ+20%
Original,-498.9716663145243,-357.74177159146564,-640.342573242212,141.2298947230587,-141.37090692768766
Delta Hedge,-1717.6712094076427,-1356.0526743660507,-2079.6856622540467,361.61853504159194,-362.0144528464041
Delta-Gamma Hedge,-309.02202089406654,-202.14246651572685,-416.00285723454436,106.87955437833969,-106.98083634047782
Vega Hedge,-155.5741032269127,-76.44394625011967,-234.7734466967256,79.13015697679305,-79.1993434698129
