Strategy,Base,Volatility Low,Volatility High,ΔVolatility Low,ΔVolatility High
Original,405.4616491716072,302.6774017991976,514.053421186858,-102.7842473724096,108.59177201525085
Delta Hedge,587.0174282272624,451.29411438907084,728.5555921802518,-135.72331383819153,141.5381639529894
Gamma-Delta Hedge,-1240.4104641881597,-1044.5895602599426,-1430.4902524904705,195.82090392821715,-190.07978830231082
Vega Hedge,15430.341898741408,12601.643162422972,18265.454395231685,-2828.698736318436,2835.1124964902774
