Strategy,Base,-10%,+10%,Δ-10%,Δ+10%
Original,412.05000003848227,2688.4185497832027,447.38176034231856,2276.3685497447204,35.33176030383629
Delta Hedge,661.8848708766866,2938.2534206128153,1822.9398551252941,2276.3685497361284,1161.0549842486075
Delta-Gamma Hedge,485.9646664826615,2762.3332162248403,854.3462381566242,2276.368549742179,368.38157167396264
Vega Hedge,22.667106354202986,2299.035656112314,-1696.509481022068,2276.368549758111,-1719.176587376271
