Strategy,Base,-1%,+1%,Δ-1%,Δ+1%
Original,-1859.221791676047,-1859.052336548741,-1859.4143070613804,0.16945512730580958,-0.19251538533353596
Delta Hedge,-1702.6490994306178,-1702.4857271675364,-1702.8355677191855,0.16337226308132813,-0.18646828856776665
Delta-Gamma Hedge,-813.1768107533214,-813.0479945746113,-813.3289261485265,0.12881617871016715,-0.15211539520510087
Vega Hedge,-787.4860578972427,-787.3582398067635,-787.6371810730109,0.12781809047919523,-0.1511231757681344
