Strategy,Base,-10%,+10%,Δ-10%,Δ+10%
Original,371.82793864135965,2643.922154284759,400.39411732952317,2272.0942156433994,28.566178688163518
Delta Hedge,374.7809622248167,2646.771152599669,417.28064045097415,2271.9901903748523,42.49967822615747
Gamma-Delta Hedge,-33.672616030365646,2252.706044997049,-1918.413809090445,2286.3786610274146,-1884.7411930600795
Vega Hedge,-509.91314174912316,1793.2419002250247,-4641.7400615368,2303.155041974148,-4131.826919787676
